Genotype;Critere;AUC;TSW;MGT;T20;T50;T80;UNI;GR;GR36;FG;VI;ES
NAVIG_001;HD_semi-synth;3188;;58.975;49.25;54.4;69.33333333;25.66666667;80;7;35.5;2.475206667;0.125873438
NAVIG_002;HD_semi-synth;3026;;57.75;45.825;58.5;76.66666667;34.23333333;76;5;32;2.20132;0.130148795
NAVIG_003;HD_semi-synth;3076;;55.325;45.825;55.73333333;75.76666667;34.66666667;74;9;31;2.46967;0.154209891
NAVIG_004;HD_semi-synth;3566;;57.125;42.95;56.5;79.125;36.175;90;7;32.5;3.498022174;0.127497681
NAVIG_005;HD_semi-synth;4799;;46.6;35.1;43.45;60.175;25.075;95;26;28;2.23466;0.178467816
NAVIG_006;HD_semi-synth;3466;;53.775;40.25;60.625;72.4;34.06666667;80;14;29.5;1.53055375;0.197341899
NAVIG_007;HD_semi-synth;4585;;49.875;38.575;49.025;60;21.425;97;16;26;2.283373636;0.133132136
NAVIG_008;HD_semi-synth;3252;;56.425;42.325;61.175;80.66666667;40.23333333;80;9;31.5;1.698932174;0.168540812
NAVIG_009;HD_semi-synth;3609;;53.55;38.25;52.825;69;30.75;92;13;30.5;1.715083333;0.167882004
NAVIG_010;HD_semi-synth;2215;;64.375;57.5;58.8;86;42;63;4;32.5;1.59178;0.167211481
NAVIG_011;HD_semi-synth;3986;;55.55;42;52.575;70.25;28.25;96;8;33;1.89774;0.13470742
NAVIG_012;HD_semi-synth;4323;;50.125;38.675;50.125;54.43333333;19.2;91;17;30.5;2.78608;0.118290536
NAVIG_013;HD_semi-synth;4066;;52.825;38.925;51.7;71.25;32.325;92;15;29.5;2.06831;0.13090693
NAVIG_014;HD_semi-synth;3027;;61.175;44.475;66.75;82.33333333;40.7;83;3;32.5;1.73007197;0.187604363
NAVIG_015;HD_semi-synth;2604;;58.625;48.5;66.375;88;40.7;68;3;33;4.261560417;0.146342674
NAVIG_016;HD_semi-synth;4580;;47.375;36.825;45.95;63.225;26.375;92;19;28;2.046487083;0.160579539
NAVIG_017;HD_semi-synth;4260;;52.475;39.175;49.75;67;27.825;96;13;29;2.51296;0.121481513
NAVIG_018;HD_semi-synth;3400;;59.55;48.05;59;80;31.95;90;6;33.5;2.89615;0.112482039
NAVIG_019;HD_semi-synth;4377;;49.075;36.25;50;65.25;29;91;18;30;2.46478;0.129595518
NAVIG_020;HD_semi-synth;3582;;55.95;42.325;56.525;69.66666667;32.9;86;15;30.5;2.38272375;0.139905692
NAVIG_021;HD_semi-synth;4622;;49.025;36.175;47.25;60;23.825;96;23;29;2.16853;0.12689564
NAVIG_022;HD_semi-synth;4377;;50.375;38.275;49.75;63.5;25.225;93;16;28;2.62513;0.155380299
NAVIG_023;HD_semi-synth;3787;;52.675;36.075;53.075;73.66666667;39.56666667;85;17;27.5;2.96734;0.132958203
NAVIG_025;HD_semi-synth;3853;;50.725;36.325;51.7;80;44;83;18;29.5;2.73554;0.129335316
NAVIG_026;HD_semi-synth;4039;;54.425;39.75;52.4;72.75;33;95;13;30;2.61308;0.114508467
NAVIG_028;HD_semi-synth;2696;;63.45;56.75;60.1;85;37.5;70;3;36.5;2.627072917;0.12489763
NAVIG_029;HD_semi-synth;2840;;63.85;49.325;63.925;87;37.675;86;1;39;2.01856;0.148217019
NAVIG_030;HD_semi-synth;3538;;57.35;43.5;59.875;68.66666667;30;86;11;33;2.68601;0.131765458
NAVIG_031;HD_semi-synth;4591;;49.275;38.5;48.075;59;20.5;95;20;27.5;2.900818333;0.132622311
NAVIG_032;HD_semi-synth;4047;;54.35;41;53.5;66.325;25.325;95;10;33;2.463356794;0.131129236
NAVIG_033;HD_semi-synth;4738;;47.725;35.925;43.675;56.675;20.75;96;19;26.5;2.24655;0.126449514
NAVIG_034;HD_semi-synth;4445;;50.15;37.95;50;60.75;22.8;95;16;31;1.999975;0.133346501
NAVIG_035;HD_semi-synth;4432;;49.975;37;49.15;63.25;26.25;94;20;30.5;2.40326;0.134725616
NAVIG_036;HD_semi-synth;4838;;47.6;38.625;44.225;54.325;15.7;98;12;48.5;1.894212174;0.10908299
NAVIG_037;HD_semi-synth;5195;;44.5;35.825;42.7;50.5;14.675;99;23;28;2.683650833;0.121178869
NAVIG_038;HD_semi-synth;4371;;50.95;39;49.25;63.5;24.5;95;16;30.5;1.701367143;0.106955082
NAVIG_039;HD_semi-synth;4572;;49.4;36;46.925;60.25;24.25;96;15;31.5;2.87180375;0.143230461
NAVIG_040;HD_semi-synth;3896;;51.975;40;50.8;67.66666667;29;86;11;32.5;4.4913;0.153959738
NAVIG_041;HD_semi-synth;4292;;52.325;40.1;50.875;65.175;25.075;96;18;27;1.652183333;0.147891021
