;variety;LA;TDW;ADW;RDW;LWR;LAR;SLA;SR;SNQ;LASNQ;TNQ;SNU;NUtE_TOT;NUtE_AER;AUC_L1_L4;AUC_L1_L2;AUC_L2_L3;AUC_L3_L4;Sp_L1_L4;Sp_L1_L2;Sp_L2_L3;Sp_L3_L4;SCA
NAVIG_105;NAVIG_105;1229.267904;5.499167264;5.199261116;0.299593881;0.951111836;240.8208616;252.3514169;22.23926506;0.283025226;4537.891608;0.291457048;1.295167671;18.73320935;17.77353423;9738.572747;699.4050192;2937.979148;6101.934876;0.586068883;0.175474502;0.419958189;1.084187077;0.000530074
NAVIG_108;NAVIG_108;1223.019794;5.575494149;5.254388441;0.320807898;0.944944548;231.6757099;245.0268915;18.96450375;0.268045139;4652.879594;0.277066994;1.040435689;19.72665385;18.61640871;9489.351221;690.7431213;2884.569663;5911.911916;0.564499958;0.171930802;0.407109723;1.038770673;0.000537172
NAVIG_109;NAVIG_109;919.4289708;4.215225686;3.951505688;0.26339984;0.941173844;225.8863042;239.6193371;17.76289285;0.200407844;4505.908439;0.207827783;0.966481643;19.53878906;18.37625212;6568.400549;505.5307036;2032.224808;4031.391333;0.379408227;0.120095674;0.276807178;0.690937448;0.000537706
NAVIG_110;NAVIG_110;935.584942;4.412059382;4.133394163;0.27835548;0.932845433;260.4580568;281.3183181;16.58210947;0.213052445;5316.428473;0.220887837;0.916223676;19.66714621;18.33380878;7530.52308;555.8960513;2296.183215;4674.783173;0.44574035;0.135991358;0.320929272;0.820561296;0.000543314
NAVIG_111;NAVIG_111;1043.56738;4.918151989;4.675254829;0.242603708;0.957672041;231.069486;240.3831011;26.07036035;0.247406175;4336.103542;0.254238575;1.517423287;18.66294076;17.82341753;7523.493477;513.4125581;2236.444953;4771.509446;0.466300909;0.134400883;0.330191851;0.870963383;0.000732032
NAVIG_113;NAVIG_113;932.8554412;4.479286153;4.185661287;0.293324961;0.933849643;228.8329466;244.8629677;15.497914;0.218706396;4527.093471;0.226960259;0.873523689;19.29190014;17.99691413;7262.337967;545.9951399;2228.384881;4487.267834;0.425144499;0.132162039;0.308365374;0.77816647;0.000571109
NAVIG_114;NAVIG_114;1012.495187;4.623290694;4.346973312;0.275984402;0.944876448;246.534039;260.6130565;18.11847354;0.22262094;4905.178885;0.230391975;0.999394007;19.51870077;18.41603026;7671.473237;549.8048137;2321.703695;4791.658939;0.459691793;0.138431627;0.330206544;0.848308768;0.000623502
NAVIG_115;NAVIG_115;940.3024865;4.267527314;4.039051106;0.228117728;0.958706747;256.4185855;266.8285733;24.50883208;0.188464499;5507.803904;0.194899316;1.235946846;21.23679725;20.29848469;10347.57566;769.7892194;3166.646842;6402.595598;0.604791739;0.188308421;0.439423286;1.105758115;0.000437849
NAVIG_116;NAVIG_116;1046.837894;5.206098383;4.898249459;0.307514527;0.94412362;207.4356235;219.7902207;18.29041467;0.243844938;4353.067964;0.252499042;0.957262392;20.23399403;19.09136577;9043.45653;721.1132916;2835.712326;5478.325124;0.505037812;0.166374497;0.373526474;0.908538816;0.000582402
NAVIG_117;NAVIG_117;1038.998645;5.235650287;4.940627449;0.29470919;0.945834306;208.7923539;220.8000102;18.90508188;0.254834564;4091.786804;0.263127425;1.069295382;19.23409908;18.15974181;9035.968545;672.5226827;2770.479378;5586.720451;0.52861358;0.164533162;0.384040403;0.96652235;0.000591688
NAVIG_118;NAVIG_118;969.0021724;4.544630172;4.256286659;0.288032035;0.939794148;230.8988968;244.9089049;18.1211251;0.227397876;4353.555408;0.235505811;1.059824501;18.61758169;17.47213887;7877.820978;668.527203;2518.906956;4691.133115;0.42307169;0.146788882;0.318331748;0.749318119;0.000576694
NAVIG_120;NAVIG_120;1355.435857;6.086902786;5.754400632;0.332200087;0.946589486;229.6695366;242.3686647;19.67994842;0.307590142;4417.743926;0.31693204;1.129211224;18.98868941;17.94184843;10832.99721;882.376448;3415.357971;6532.113522;0.597418902;0.199947338;0.444088817;1.070090865;0.00055316
